Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
48192,Text,2015-02-07,"Gräfin Elisa von Ahlefeldt, die Gattin Adolphs von Lützow, die Freundin Karl Immermann's",de,"Assing, Ludmilla, 1821-1880","Ahlefeldt, Elise von, 1788-1855",CT,Category: Biographies; Category: German Literature; Category: History - European
48193,Text,2015-02-07,"Commentary on Genesis, Vol. 1: Luther on the Creation",en,"Luther, Martin, 1483-1546; Lenker, John Nicholas, 1858-1929 [Translator]",Bible. Genesis -- Commentaries,BS,Category: Religion/Spirituality
48194,Text,2015-02-08,"Ryerson Memorial Volume
Prepared on the occasion of the unveiling of the Ryerson statute in the grounds of the Education department on the Queen's birthday, 1889",en,"Hodgins, J. George (John George), 1821-1912","Ryerson, Egerton, 1803-1882; Education -- Ontario",LA,Category: Biographies; Category: History - Modern (1750+); Category: History - Schools & Universities; Category: Teaching & Education
48195,Text,2015-02-08,A Report upon the Mollusk Fisheries of Massachusetts,en,"Massachusetts. Commissioners on Fisheries and Game; Belding, David Lawrence, 1884-1970",Shellfish fisheries -- Massachusetts,SH,Category: Science - Biology; Category: Science - Earth/Agricultural/Farming; Category: Environmental Issues
48196,Text,2015-02-08,"Zoölogy: The Science of Animal Life
Popular Science Library, Volume XII (of 16), P. F. Collier & Son Company, 1922",en,"Ingersoll, Ernest, 1852-1946",Animals; Zoology,QL,Category: Science - Biology
48197,Text,2015-02-08,"Hester: A Story of Contemporary Life, Volume 1 (of 3)",en,"Oliphant, Mrs. (Margaret), 1828-1897",England -- Fiction; Psychological fiction; Young women -- Fiction; Love stories; Domestic fiction; Family-owned business enterprises -- Fiction; Triangles (Interpersonal relations) -- Fiction; Older women -- Fiction; Conflict of generations -- Fiction; Women bankers -- Fiction,PR,Category: Novels; Category: British Literature
48198,Text,2015-02-08,"Hester: A Story of Contemporary Life, Volume 2 (of 3)",en,"Oliphant, Mrs. (Margaret), 1828-1897",England -- Fiction; Psychological fiction; Young women -- Fiction; Love stories; Domestic fiction; Family-owned business enterprises -- Fiction; Triangles (Interpersonal relations) -- Fiction; Older women -- Fiction; Conflict of generations -- Fiction; Women bankers -- Fiction,PR,Category: Novels; Category: British Literature
48199,Text,2015-02-08,"Hester: A Story of Contemporary Life, Volume 3 (of 3)",en,"Oliphant, Mrs. (Margaret), 1828-1897",England -- Fiction; Psychological fiction; Young women -- Fiction; Love stories; Domestic fiction; Family-owned business enterprises -- Fiction; Triangles (Interpersonal relations) -- Fiction; Older women -- Fiction; Conflict of generations -- Fiction; Women bankers -- Fiction,PR,Category: Romance; Category: Novels; Category: British Literature
48200,Text,2015-02-08,The Rake's Progress,en,"Bowen, Marjorie, 1888-1952",Fiction,PR,Category: Novels; Category: British Literature
48201,Text,2015-02-08,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, III",fi,"Lönnrot, Elias, 1802-1884",Finnish poetry,PH,"Category: Poetry; Category: Mythology, Legends & Folklore"
48202,Text,2015-02-08,"Kantele Taikka Suomen Kansan sekä Wanhoja että Nykyisempiä Runoja ja Lauluja, IV",fi,"Lönnrot, Elias, 1802-1884",Finnish poetry,PH,"Category: Poetry; Category: Mythology, Legends & Folklore"
48203,Text,2015-02-08,Letters from Spain,en,"White, Joseph Blanco, 1775-1841",Spain -- Description and travel,DP,"Category: Essays, Letters & Speeches; Category: Travel Writing; Category: History - European"
48204,Text,2015-02-08,Gil Blas: Santillanalaisen elämänvaiheet,fi,"Le Sage, Alain René, 1668-1747; Kahma, Uuno, 1872-1948 [Translator]","Adventure and adventurers -- Fiction; Blas, Gil (Fictitious character) -- Fiction",PQ,Category: Adventure; Category: Novels; Category: Classics of Literature; Category: French Literature
48205,Text,2015-02-08,Im Land des Lichts: Ein Streifzug durch Kabylie und Wüste,de,"Wolf, Thea, 1896-",Algeria -- Description and travel,DT,Category: Travel Writing
48206,Text,2015-02-08,Al rombo del cannone,it,"De Roberto, Federico, 1861-1927","World War, 1914-1918",D501,IT Storia; Category: History - Other; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
48207,Text,2015-02-08,"Lays and Legends of the English Lake Country
With Copious Notes",en,"White, John Pagen, -1868",Legends -- England -- Lake District; Lake District (England) -- Poetry,PR,"Category: Poetry; Category: Mythology, Legends & Folklore; Category: British Literature"
48208,Text,2015-02-08,"Convict Life at the Minnesota State Prison, Stillwater, Minnesota",en,"Heilbron, William Casper, 1864-; Younger, Cole, 1844-1916 [Contributor]","Bank robberies -- Minnesota -- Northfield -- History -- 19th century; Minnesota State Prison (Stillwater, Minn.) -- History; Prisons -- Minnesota -- Stillwater -- History",HV,Category: History - American; Category: History - Modern (1750+); Category: Law & Criminology
48209,Text,2015-02-09,Suorasanaisia runoelmia,fi,"Runeberg, Johan Ludvig, 1804-1877; Suppanen, Aatto, 1855-1898 [Translator]","Swedish fiction -- Translations into Finnish; Short stories, Swedish -- Translations into Finnish",PT,Category: Poetry
48210,Text,2015-02-09,Aus des Angelus Silesius Cherubinischem Wandersmann,de,"Angelus Silesius, 1624-1677","Mysticism -- Germany -- History -- 17th century; German poetry -- Early modern, 1500-1700",PT,Category: Poetry; Category: German Literature; Category: Philosophy & Ethics; Category: Religion/Spirituality
48211,Text,2015-02-09,Kunst und Künstler Almanach 1909,de,Various,German literature -- Periodicals,PT,"Category: Essays, Letters & Speeches; Category: German Literature; Category: Art"
48212,Text,2015-02-09,Le feu (Journal d'une Escouade),fr,"Barbusse, Henri, 1873-1935","World War, 1914-1918 -- Fiction",PQ,FR Guerres; Category: Novels; Category: French Literature; Category: History - Warfare
48213,Text,2015-02-09,"Religious Studies, Sketches and Poems",en,"Stowe, Harriet Beecher, 1811-1896",Religion,PS,"Category: Poetry; Category: Essays, Letters & Speeches; Category: Religion/Spirituality"
48214,Text,2015-02-09,"The Rhinegold & The Valkyrie
The Ring of the Niblung, part 1",en,"Wagner, Richard, 1813-1883; Rackham, Arthur, 1867-1939 [Illustrator]; Armour, Margaret, 1860-1943 [Translator]",Operas -- Librettos,ML,"Opera; Category: Plays/Films/Dramas; Category: Mythology, Legends & Folklore"
48215,Text,2015-02-09,A Sheaf of Roses,en,"Gordon, Elizabeth, 1866-1922",Roses -- Poetry,PS,Category: Poetry
48216,Text,2015-02-09,1812: Historische roman,nl,"Rellstab, Ludwig, 1799-1860","Napoleon I, Emperor of the French, 1769-1821 -- Fiction; Napoleonic Wars, 1800-1815 -- Campaigns -- Russia -- Fiction; Russia -- History -- Alexander I, 1801-1825 -- Fiction",PT,Category: Historical Novels; Category: Romance; Category: Adventure; Category: Novels; Category: German Literature
48217,Text,2015-02-09,The Treasure of the Humble,en,"Maeterlinck, Maurice, 1862-1949; Sutro, Alfred, 1863-1933 [Translator]",Essays; Mysticism,PQ,"Category: Essays, Letters & Speeches; Category: Philosophy & Ethics; Category: Religion/Spirituality; Nobel Prizes in Literature"
48218,Text,2015-02-09,The Science of the Stars,en,"Maunder, E. Walter (Edward Walter), 1851-1928",Astronomy,QB,Category: History - Other; Category: Science - Physics
48219,Text,2015-02-09,Red Belts,en,"Pendexter, Hugh, 1875-1940; Coleman, Ralph P. (Ralph Pallen), 1892-1968 [Illustrator]",Frontier and pioneer life -- Tennessee -- Fiction,PS,Category: Historical Novels; Category: Novels; Category: American Literature
48220,Text,2015-02-09,The Influence of Buddhism on Primitive Christianity,en,"Lillie, Arthur, 1831-1911",Buddhism; Christianity and other religions -- Buddhism,BR,Category: History - Religious; Category: Religion/Spirituality
48221,Text,2015-02-09,"Chambers's Journal of Popular Literature, Science, and Art, No. 704
June 23, 1877",en,"Various; Chambers, Robert, 1802-1871 [Editor]; Chambers, William, 1800-1883 [Editor]",Periodicals,AP,"Chambers's Edinburgh Journal; Category: Short Stories; Category: Mythology, Legends & Folklore; Category: Essays, Letters & Speeches; Category: British Literature"
48222,Text,2015-02-09,Fir-Flower Tablets: Poems Translated from the Chinese,en,"Ayscough, Florence Wheelock, 1878-1942 [Translator]; Lowell, Amy, 1874-1925 [Translator]",Chinese poetry -- Translations into English,PL,Category: Poetry
48223,Text,2015-02-09,The History of Gambling in England,en,"Ashton, John, 1834-1911",England -- Social life and customs; Gambling -- Great Britain,HV,Category: History - British
48224,Text,2015-02-09,"The Girl's Own Paper, Vol. VIII, No. 359, November 13, 1886",en,"Various; Klickmann, Flora, 1867-1958 [Editor]; Peters, Charles, active 1880-1907 [Editor]",Children's literature -- Periodicals,AP; PZ,"The Girls Own Paper; Category: Poetry; Category: Novels; Category: Essays, Letters & Speeches; Category: Journals"
48225,Text,2015-02-10,Collected Papers on Analytical Psychology,en,"Jung, C. G. (Carl Gustav), 1875-1961; Long, Constance E. (Constance Ellen), -1923 [Editor]",Psychoanalysis,BF,"Category: Essays, Letters & Speeches; Category: Psychiatry/Psychology"
48226,Text,2015-02-10,Dick Donnelly of the Paratroops,en,"McClintock, Marshall, 1906-1967; Kirn, Francis [Illustrator]","World War, 1939-1945 -- Juvenile fiction",PZ,World War II; Category: Historical Novels; Category: Adventure
48227,Text,2015-02-10,"The Land of Evangeline: The Authentic Story of Her Country and Her People
With Evangeline by H. W. Longfellow",en,"Herbin, John Frederic, 1860-1923; Longfellow, Henry Wadsworth, 1807-1882",American poetry; Acadians -- Poetry; Nova Scotia -- History -- To 1763; Acadians; Grand Pré (N.S.),F1001; PS,Category: History - Other
48228,Text,2015-02-10,Averil,en,"Carey, Rosa Nouchette, 1840-1909",Friendship -- Fiction; Conduct of life -- Fiction; Courtship -- Fiction; Cousins -- Fiction; Sick -- Fiction; Young women -- Conduct of life -- Fiction; Kindness -- Fiction,PR,Category: Novels; Category: British Literature
48229,Text,2015-02-10,"A Blue Devil of France: Epic figures and stories of the Great War, 1914-1918",en,"Capart, G.-P. (Gustav-P.), 1881-; Drouillard, Jacques C., 1889- [Translator]","World War, 1914-1918 -- Personal narratives",D501,Category: Biographies; Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
48230,Text,2015-02-10,The Soul of John Brown,en,"Graham, Stephen, 1884-1975",African Americans; United States -- Race relations,E151,Category: History - American
48231,Text,2015-02-10,Het Duitsche Witboek: Documenten aangaande het uitbreken van den oorlog,nl,Germany. Auswärtiges Amt,"World War, 1914-1918 -- Diplomatic history",D501,Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
48232,Text,2015-02-11,The Robinson Telegraphic Cipher,en,"Robinson, Stephen L. (Telegrapher)",Cipher and telegraph codes -- Grain trade,HE,Category: Business/Management; Category: Encyclopedias/Dictionaries/Reference
48233,Text,2015-02-11,Lincoln's Love Story,en,"Atkinson, Eleanor, 1863-1942","Lincoln, Abraham, 1809-1865 -- Relations with women; Rutledge, Ann, -1835",E456,Category: Historical Novels; Category: Romance; Category: Biographies; Category: History - American
48234,Text,2015-02-11,Der Damen-Reitsport,de,"Schoenbeck, Richard, 1840-1919",Horsemanship; Sidesaddle riding; Women in horse sports,SF,Category: History - Other; Category: How To ...; Category: Sports/Hobbies
48235,Text,2015-02-11,"Maximilian, Prince of Wied's, Travels in the Interior of North America, 1832-1834, part 3 and appendix",en,"Wied, Maximilian, Prinz von, 1782-1867; Thwaites, Reuben Gold, 1853-1913 [Editor]; Bodmer, Karl, 1809-1893 [Illustrator]; Lloyd, Hannibal Evans, 1771-1847 [Translator]",Indians of North America; United States -- Description and travel; Indians of North America -- Languages; Natural history -- United States,F590.3,Category: Travel Writing; Category: History - American; Category: Archaeology & Anthropology
48236,Text,2015-02-11,The Blood Covenant: A Primitive Rite and its Bearings on Scripture,en,"Trumbull, H. Clay (Henry Clay), 1830-1903",Covenants -- Religious aspects; Blood -- Folklore,BL,Category: History - Ancient; Category: Archaeology & Anthropology; Category: Religion/Spirituality
48237,Text,2015-02-11,The Lady of North Star,en,"Binns, Ottwell, 1872-1935",Royal North West Mounted Police (Canada) -- Fiction,PR,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels"
48238,Text,2015-02-11,Het geval België,nl,"Beck, James M. (James Montgomery), 1861-1936; Veer, W. de (Willem), 1865- [Translator]","World War, 1914-1918 -- Belgium",DH; D501,Category: History - European; Category: History - Modern (1750+); Category: History - Warfare
48239,Text,2015-02-11,"Het tweevoudig verbond contra de drievoudige Entente
(het wereldconflict als een rechtsgeding behandeld)",nl,"Beck, James M. (James Montgomery), 1861-1936; Veer, W. de (Willem), 1865- [Translator]","World War, 1914-1918; World War, 1914-1918 -- Causes",D501,Category: History - European; Category: History - Modern (1750+); Category: History - Warfare; Category: Philosophy & Ethics
48240,Text,2015-02-11,Fort Gibson: A Brief History,en,"Foreman, Grant, 1869-1953; Foreman, Carolyn Thomas, 1875-",Fort Gibson (Okla.) -- History,F590.3,Category: History - American; Category: History - Warfare
48241,Text,2015-02-11,An American Religious Movement : A Brief History of the Disciples of Christ,en,"Garrison, Winfred Ernest, 1874-1969",Disciples of Christ -- History,BX,Category: History - American; Category: History - Religious
48242,Text,2015-02-11,Prayers of the Middle Ages: Light from a Thousand Years,en,"Potts, J. Manning (James Manning), 1895- [Editor]",Prayers,BV,Category: History - Medieval/Middle Ages; Category: Religion/Spirituality
48243,Text,2015-02-12,Oesterreich's Betheiligung am Welthandel: Betrachtungen und Vorschläge,de,"Revoltella, Pasquale, 1799-1869",Austria -- Commerce; Merchant marine -- Austria,HF,Category: History - European; Category: Politics; Category: Economics
48244,Text,2015-02-12,"Montreal, 1535-1914. Vol. 2. Under British Rule, 1760-1914",en,"Atherton, William H. (William Henry), 1867-1950",Montréal (Québec) -- History; Montréal (Québec) -- Biography; Montréal (Québec) -- Maps -- Bibliography,F1001,Category: History - British; Category: History - European; Category: History - Modern (1750+)
48245,Text,2015-02-12,Mr. Punch's Irish Humour in Picture and Story,en,"Hammerton, J. A. (John Alexander), 1871-1949 [Editor]; Keene, Charles, 1823-1891 [Illustrator]","English wit and humor; English wit and humor, Pictorial; Irish wit and humor",PN,Category: Humour
48246,Text,2015-02-12,A Parody on Princess Ida,en,"Dalziel, D. (Davison), 1852-1928","Sullivan, Arthur, 1842-1900 -- Parodies, imitations, etc.; Chicago and Alton Railroad Company -- Drama; Railroads -- Illinois -- Drama; Railroads -- Missouri -- Drama; Sullivan, Arthur, 1842-1900. Princess Ida",PS,Opera; Category: Humour; Category: Plays/Films/Dramas
48247,Text,2015-02-12,Prayers of the Early Church,en,"Potts, J. Manning (James Manning), 1895- [Editor]","Prayers; Prayers, Early Christian",BV; BX,Category: Religion/Spirituality
48248,Text,2015-02-13,Indernas föreställningar om verldsskapelsen Jemförda med Finnarnes,sv,"Donner, Otto, 1835-1909","Mythology, Finno-Ugrian; Indra (Hindu deity); Creation -- Comparative studies",BL,"Category: Mythology, Legends & Folklore; Category: Archaeology & Anthropology; Category: Religion/Spirituality"
48249,Text,2015-02-13,"Signing the Contract, and What It Cost",en,"Finley, Martha, 1828-1909",American fiction -- 19th century,PS,Category: Novels; Category: American Literature
48250,Text,2015-02-13,"The History of the Reformation of Religion in Scotland
With Which Are Included Knox's Confession and The Book of Discipline",en,"Knox, John, 1514?-1572; Lennox, Cuthbert [Editor]",Reformation -- Scotland; Scotland -- Church history,BR,Category: History - British; Category: History - Religious
48251,Text,2015-02-13,"The Boy Scouts Down in Dixie; or, The Strange Secret of Alligator Swamp",en,"Carter, Herbert, active 1909-1917",Boy Scouts -- Juvenile fiction; Louisiana -- Juvenile fiction,PZ,Category: Children & Young Adult Reading; Category: Adventure
48252,Text,2015-02-13,"Motor Matt's Daring Rescue; or, The Strange Case of Helen Brady",en,"Matthews, Stanley R.",Adventure stories; Airships -- Juvenile fiction; Dime novels; Mechanics -- Juvenile fiction,PZ,"Category: Crime, Thrillers and Mystery; Category: Adventure; Category: Novels"
48253,Text,2015-02-14,"Emma und Bertha oder die Zwillingsschwestern
Eine unterhaltende Erzählung für die Jugend",de,"Reinhold, Caroline, 1778-1849",Twins -- Juvenile fiction; Sisters -- Juvenile fiction,PZ,Category: Novels; Category: German Literature
48254,Text,2015-02-14,"Moni the Goat Boy, and Other Stories",en,"Spyri, Johanna, 1827-1901; Kunz, Edith F. [Translator]",Short stories; Switzerland -- Fiction; Mountain life -- Switzerland -- Fiction,PZ,Category: Short Stories; Category: Children & Young Adult Reading
48255,Text,2015-02-14,Sukelluslaivalla maapallon ympäri,fi,"Verne, Jules, 1828-1905; Joutsen, O. A. (Otto Aleksanteri), 1878-1936 [Translator]",Science fiction; Submarines (Ships) -- Fiction; Sea stories; Adventure stories; Underwater exploration -- Fiction,PQ,Category: Science-Fiction & Fantasy; Category: Adventure; Category: Classics of Literature
48256,Text,2015-02-15,Spitzen und ihre Charakteristik,de,"Jurie, Bertha von",Lace and lace making,TT,Category: History - European; Category: Art; Category: Fashion; Category: Encyclopedias/Dictionaries/Reference
48257,Text,2015-02-14,"Chronique de 1831 à 1862, Tome 2 (de 4)",fr,"Dino, Dorothée, duchesse de, 1793-1862; Radziwill, Marie Dorothea Elisabeth de Castellane, Fürstin, 1840-1915 [Editor]",Europe -- Politics and government -- 1815-1848; France -- Foreign relations -- 1830-1848,DC,"FR Biographie, Mémoires, Journal intime, Correspondance; FR Chroniques; Category: Biographies; Category: French Literature; Category: History - European; Category: History - Modern (1750+)"
48258,Text,2015-02-14,The Old Dominion,en,"Johnston, Mary, 1870-1936","Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Category: Historical Novels; Category: Novels; Category: American Literature
48259,Text,2015-02-14,"L'Illustration, No. 0072, 11 Juillet 1844",fr,Various,Illustrated periodicals -- France,AP,L'Illustration; Category: French Literature; Category: History - European; Category: History - Modern (1750+); Category: Journals
48260,Text,2015-02-14,Geoffrey the Lollard,en,"Eastwood, Frances",Lollards -- Fiction,PS,Category: Historical Novels; Category: Novels; Category: British Literature; Category: History - Medieval/Middle Ages; Category: History - Religious
48261,Text,2015-02-15,"Birds and All Nature, Vol. 6, No. 5, December 1899
Illustrated by Color Photography",en,Various,Birds -- Periodicals; Natural history -- Periodicals,AP,Category: Nature/Gardening/Animals; Category: Journals
48262,Text,2015-02-15,Heloise : ein kleiner Roman,de,"Woltmann, Karoline von, 1782-1847; Woltmann, Karl Ludwig von, 1770-1817 [Editor]",Love -- Fiction,PT,Category: Romance; Category: Novels; Category: German Literature
48263,Text,2015-02-15,Life of Isaac Mason as a Slave,en,"Mason, Isaac, 1822-","Enslaved persons -- United States -- Biography; Mason, Isaac, 1822-",E300,Category: Biographies; Category: History - American; Category: History - Modern (1750+); Category: Parenthood & Family Relations
48264,Text,2015-02-15,Summer Cruise in the Mediterranean on board an American frigate,en,"Willis, Nathaniel Parker, 1806-1867",Middle East -- Description and travel; Mediterranean Sea -- Description and travel,D,Category: Travel Writing
48265,Text,2015-02-15,Daughters of the Dominion: A Story of the Canadian Frontier,en,"Marchant, Bessie, 1862-1941; Rainey, W. (William), 1852-1936 [Illustrator]",Young women -- Conduct of life -- Fiction; Canada -- Boundaries -- United States -- Fiction; United States -- Boundaries -- Canada -- Fiction,PR,Category: Historical Novels; Category: Adventure; Category: Novels
48266,Text,2015-02-15,"Charles Sumner: his complete works, volume 09 (of 20)",en,"Sumner, Charles, 1811-1874","Slavery -- United States; Speeches, addresses, etc., American",E300,"Category: Essays, Letters & Speeches; Category: History - American; Category: Law & Criminology; Category: Politics"
48267,Text,2015-02-15,Vita di Francesco Burlamacchi,it,"Guerrazzi, Francesco Domenico, 1804-1873","Burlamacchi, Francesco, 1498-1548; Lucca (Italy) -- History",DG,IT Biografie; Category: Biographies; Category: History - European
48268,Text,2015-02-15,"The Unpopular Review Vol. I
January-June 1914",en,"Various; Holt, Henry, 1840-1926 [Editor]",American periodicals,AP,"Category: Essays, Letters & Speeches"
48269,Text,2015-02-15,Havsboken,sv,"Elgström, Anna Lenah, 1884-",Fiction,PT,Category: Novels
48270,Text,2015-02-15,The Motor Rangers' Cloud Cruiser,en,"Goldfrap, John Henry, 1879-1917; Wrenn, Charles L. (Charles Lewis), 1880-1952 [Illustrator]",Islands -- Juvenile fiction; Mystery and detective stories; Airships -- Juvenile fiction; Boats and boating -- Juvenile fiction,PZ,Category: Adventure; Category: Novels
48271,Text,2015-02-15,Old People and the Things That Pass,en,"Couperus, Louis, 1863-1923; Teixeira de Mattos, Alexander, 1865-1921 [Translator]",Families -- Fiction; Dutch fiction -- Translations into English; Secrets -- Fiction,PT,Category: Novels
48272,Text,2015-02-15,"Harper's Young People, July 12, 1881
An Illustrated Weekly",en,Various,"Children's periodicals, American",AP,Category: Short Stories; Category: Children & Young Adult Reading; Category: Poetry; Category: Adventure; Category: How To ...
48273,Text,2015-02-15,"Lincoln Day Entertainments
Recitations, Plays, Dialogues, Drills, Tableaux, Pantomimes, Quotations, Songs, Tributes, Stories, Facts",en,"Sindelar, Joseph C. (Joseph Charles), 1885- [Editor]","Lincoln, Abraham, 1809-1865 -- Anecdotes; Lincoln, Abraham, 1809-1865 -- Anniversaries, etc.; Lincoln Day",E456,Category: Children & Young Adult Reading; Category: Plays/Films/Dramas; Category: Biographies; Category: American Literature
48274,Text,2015-02-15,"The Life of a Regimental Officer During the Great War, 1793-1815",en,"Mockler-Ferryman, A. F. (Augustus Ferryman), 1856-1930","Rice, Samuel, 1775-1840; Great Britain -- History -- 1789-1820",DA,Category: Biographies; Category: History - British; Category: History - Modern (1750+); Category: History - Warfare
48275,Text,2015-02-16,"The Philosophy of History, Vol. 2 of 2",en,"Schlegel, Friedrich von, 1772-1829; Robertson, James Burton, 1800-1877 [Translator]",History; History -- Philosophy,D,Category: History - Ancient; Category: History - Religious; Category: Philosophy & Ethics
48276,Text,2015-02-16,The hand of Providence,en,"Ward, J. H. (Joseph Harvey)",World history -- Juvenile literature; Great Apostasy (Mormon doctrine); Church history -- Juvenile literature,BX; D,Category: History - Ancient; Category: History - Religious; Category: Religion/Spirituality
48277,Text,2015-02-17,Ben Stone at Oakdale,en,"Scott, Morgan",Schools -- Juvenile fiction; Football -- Juvenile fiction; Football stories,PZ,Category: Children & Young Adult Reading; Category: Novels
48278,Text,2015-02-16,Rites and Ritual: A Plea for Apostolic Doctrine and Worship,en,"Freeman, Philip, 1818-1875; Phillpotts, Henry, 1778-1869 [Contributor]",Rites and ceremonies; Church of England -- Customs and practices; Sacraments; Church of England -- Liturgy; Ritualism,BX,Category: History - Religious; Category: Religion/Spirituality
48279,Text,2015-02-16,Nouvelles Asiatiques,fr,"Gobineau, Arthur, comte de, 1816-1882; Visan, Tancrède de, 1878-1945 [Author of introduction, etc.]",Middle East -- Fiction,PQ,FR Nouvelles; Category: Short Stories; Category: French Literature
48280,Text,2015-02-16,"Life Movements in Plants, Volume I",en,"Bose, Jagadis Chandra, 1858-1937",Plants -- Irritability and movements; Growth (Plants),QK,Category: Science - Biology
48281,Text,2015-02-16,The China Painter Instruction Book,en,"Balluff, George Erhart, 1864-1947",China painting,NK,Category: Art; Category: How To ...
48282,Text,2015-02-16,"Les cavaliers de la nuit, deuxième partie (t. 4/4)",fr,"Ponson du Terrail, 1829-1871",French fiction -- 19th century,PQ,FR Littérature; Category: Historical Novels; Category: Novels; Category: French Literature
48283,Text,2015-02-16,"Forest, Rock, and Stream
A series of twenty steel line-engravings",en,"Willis, Nathaniel Parker, 1806-1867; Bartlett, W. H. (William Henry), 1809-1854 [Illustrator]",Hudson River Valley (N.Y. and N.J.) -- Description and travel; New York (State) -- Description and travel; Hudson River (N.Y. and N.J.) -- Pictorial works,F106,Category: Poetry; Category: Travel Writing; Category: History - American; Category: Art
48284,Text,2015-02-16,"Jacob Hamblin: A Narrative of His Personal Experience as a Frontiersman, Missionary to the Indians and Explorer, Disclosing Interpositions of Providence, Severe Privations, Perilous Situations and Remarkable Escapes
Fifth Book of the Faith-Promoting Series, Designed for the Instruction and Encouragement of Young Latter-day Saints",en,"Hamblin, Jacob, 1819-1886; Little, James A. (James Amasa), 1822-1908 [Editor]","Frontier and pioneer life -- Utah; Hamblin, Jacob, 1819-1886; Latter Day Saint churches -- Utah; Indians of North America -- Utah",F786,Latter Day Saints; Category: Biographies; Category: History - American; Category: History - Religious
48285,Text,2015-02-17,"Charles Sumner: his complete works, volume 10 (of 20)",en,"Sumner, Charles, 1811-1874","Slavery -- United States; Speeches, addresses, etc., American",E300,"Category: Essays, Letters & Speeches; Category: History - American; Category: History - Modern (1750+); Category: Politics"
48286,Text,2015-02-17,Mogreb-el-Acksa: A Journey in Morocco,en,"Cunninghame Graham, R. B. (Robert Bontine), 1852-1936","Morocco -- Description and travel; Cunninghame Graham, R. B. (Robert Bontine), 1852-1936 -- Travel -- Morocco",DT,Category: Travel Writing
48287,Text,2015-02-17,In der Mondnacht: Märchen,de,"Wachenhusen, Hans, 1823-1898",Fairy tales,PT,"Category: Short Stories; Category: Mythology, Legends & Folklore; Category: German Literature"
48288,Text,2015-02-17,Inheritance of Characteristics in Domestic Fowl,en,"Davenport, Charles Benedict, 1866-1944; Morita, Kako [Illustrator]; Toda, Kenji [Illustrator]",Heredity; Poultry,QH,Category: Science - Biology
48289,Text,2015-02-17,"Harper's Young People, July 19, 1881
An Illustrated Weekly",en,Various,"Children's periodicals, American",AP,Category: Short Stories; Category: Children & Young Adult Reading; Category: Poetry; Category: Adventure
48290,Text,2015-02-17,"Old Wonder-Eyes, and Other Stories for Children",en,"Lippincott, L. K. (Leander K.); Greenwood, Grace, 1823-1904",Short stories; Animals -- Juvenile fiction; Children's stories; Country life -- Juvenile fiction,PZ,Category: Short Stories; Category: Children & Young Adult Reading
48291,Text,2015-02-17,Strange Stories of the Great Valley: The Adventures of a Boy Pioneer,en,"Grosvenor, Abbie Johnston, 1865-1948; Merrill, Frank T., 1848-1923 [Illustrator]",Frontier and pioneer life -- Ohio River Valley -- Juvenile fiction,PZ,Category: Historical Novels; Category: Adventure; Category: American Literature
48292,Text,2015-02-17,Fra Contadini,it,"Malatesta, Errico, 1853-1932",Communism; Anarchism; Working class; Anarchism -- Italy; Anarchists -- Italy; Peasants,HX,IT Scienze politiche; Category: Philosophy & Ethics; Category: Politics
48293,Text,2015-02-17,"Old Quebec, the city of Champlain",en,"Weaver, Emily P. (Emily Poynton), 1865-1943; Weaver, Annie E. [Illustrator]","Vieux-Québec (Québec, Québec) -- History",F1001,Category: History - American; Category: History - Modern (1750+); Category: History - Religious; Category: History - Warfare
48294,Text,2015-02-17,Sir Christopher: A Romance of a Maryland Manor in 1644,en,"Goodwin, Maud Wilder, 1856-1935; Pyle, Howard, 1853-1911 [Illustrator]","Maryland -- History -- Colonial period, ca. 1600-1775 -- Fiction",PS,Category: Historical Novels; Category: Romance; Category: American Literature
48295,Text,2015-02-17,Strange Stories of the Great River: The Adventures of a Boy Explorer,en,"Grosvenor, Abbie Johnston, 1865-1948; Louderback, Walt, 1887-1941 [Illustrator]",Mississippi River -- Discovery and exploration -- Juvenile fiction,PZ,Category: Historical Novels; Category: Children & Young Adult Reading; Category: Adventure
48296,Text,2015-02-17,Linnet: A Romance,en,"Allen, Grant, 1848-1899",London (England) -- Fiction; Alps -- Fiction; Tyrol (Austria) -- Fiction,PR,Category: Romance; Category: Novels; Category: British Literature
48297,Text,2015-02-17,"A Soldier's Daughter, and Other Stories",en,"Henty, G. A. (George Alfred), 1832-1902; Ewan, Frances [Illustrator]",Fiction; Adventure stories,PZ,Category: Short Stories; Category: Historical Novels; Category: British Literature
48298,Text,2015-02-18,"Birds and All Nature, Vol. 7, No. 1, January 1900
Illustrated by Color Photography",en,Various,Birds -- Periodicals; Natural history -- Periodicals,QH,Category: Nature/Gardening/Animals; Category: Journals
48299,Text,2015-02-18,The Story of a Hare,en,"Tregarthen, J. C. (John Coulson), 1854-1933",Hares -- Fiction,PR,Category: Novels; Category: British Literature
